,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
2787,-73.9647845655965,40.7816573808695,21F-AM-1018-07,21F,AM,10182018,7,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,True,False,False,True,,POINT (-73.9647845655965 40.7816573808695)
2793,-73.9712187890707,40.7750640173134,12E-PM-1018-01,12E,PM,10182018,1,Juvenile,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,True,False,False,,True,False,False,True,False,False,False,True,,POINT (-73.9712187890707 40.7750640173134)
2798,-73.9682627382073,40.7730766743452,11H-AM-1010-09,11H,AM,10102018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9682627382073 40.7730766743452)
2800,-73.9697665830132,40.7759094917104,13E-PM-1008-08,13E,PM,10082018,8,Juvenile,Cinnamon,"Black, White","Cinnamon+Black, White",,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,True,False,True,False,,POINT (-73.9697665830132 40.7759094917104)
2801,-73.9533101544112,40.7938634280159,38H-AM-1019-01,38H,AM,10192018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9533101544112 40.7938634280159)
2821,-73.9711120079542,40.7760801911766,13D-PM-1018-14,13D,PM,10182018,14,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,True,False,False,climbing (down),False,False,False,False,False,False,True,False,,POINT (-73.9711120079542 40.7760801911766)
2836,-73.9772691210241,40.7690960712994,4D-PM-1008-13,04D,PM,10082018,13,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9772691210241 40.7690960712994)
2837,-73.9507699667119,40.7955166039555,40I-AM-1018-02,40I,AM,10182018,2,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9507699667119 40.795516603955505)
2877,-73.969720780557,40.7741105688757,12F-AM-1020-04,12F,AM,10202018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,True,False,,False,False,False,False,True,False,False,False,,POINT (-73.969720780557 40.7741105688757)
2881,-73.956581233786,40.7902127690837,33H-AM-1019-01,33H,AM,10192018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,Cinnamon patches,Ground Plane,FALSE,,False,False,False,False,False,wrestling with child,False,False,False,False,False,False,False,False,,POINT (-73.956581233786 40.79021276908371)
2885,-73.9729265300533,40.7741768291642,10D-AM-1008-02,10D,AM,10082018,2,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9729265300533 40.7741768291642)
2890,-73.9636482556874,40.7775831570186,18I-PM-1007-05,18I,PM,10072018,5,Juvenile,Cinnamon,"Gray, Black","Cinnamon+Gray, Black",,Ground Plane,FALSE,,False,False,False,False,True,jumping crazily / digging hole,False,False,False,False,False,False,True,False,,POINT (-73.9636482556874 40.7775831570186)
2894,-73.9747873899653,40.7731945258327,9C-PM-1006-04,09C,PM,10062018,4,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9747873899653 40.7731945258327)
2896,-73.9689554458632,40.7778593393957,16E-PM-1018-10,16E,PM,10182018,10,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9689554458632 40.7778593393957)
2899,-73.9631005470369,40.7885494057193,28D-AM-1012-01,28D,AM,10122018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,True,False,False,False,,POINT (-73.9631005470369 40.7885494057193)
2911,-73.9632164738341,40.7921270121312,32B-PM-1010-03,32B,PM,10102018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,15,,False,False,False,True,False,,False,False,False,False,False,False,False,False,,POINT (-73.9632164738341 40.7921270121312)
2912,-73.9621297946132,40.7944058222814,34A-PM-1013-05,34A,PM,10132018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,4,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9621297946132 40.7944058222814)
2914,-73.9734630412566,40.7653097139415,1H-PM-1013-02,01H,PM,10132018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9734630412566 40.7653097139415)
2918,-73.9768563402344,40.7744487310786,9A-AM-1013-12,09A,AM,10132018,12,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,foot of tree,True,True,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9768563402344 40.7744487310786)
2926,-73.9650120066074,40.7805932882407,20F-PM-1007-13,20F,PM,10072018,13,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,10,,False,False,True,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9650120066074 40.78059328824071)
2937,-73.97033289562,40.7701079697795,7H-AM-1006-14,07H,AM,10062018,14,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.97033289562 40.7701079697795)
2940,-73.9690266660317,40.7853134751509,23A-AM-1018-01,23A,AM,10182018,1,Juvenile,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9690266660317 40.7853134751509)
2942,-73.962534856258,40.7812134517411,22H-PM-1007-01,22H,PM,10072018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.962534856258 40.7812134517411)
2945,-73.974515099169,40.7700650799886,6E-PM-1010-03,06E,PM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,white back legs,Ground Plane,FALSE,small open area but w/ 7 large oak trees,False,True,False,True,False,chasing #4,False,False,False,False,False,False,True,False,,POINT (-73.974515099169 40.770065079988605)
2951,-73.9763719445827,40.7689551413337,4D-PM-1008-04,04D,PM,10082018,4,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9763719445827 40.7689551413337)
2954,-73.9711666523376,40.7761513057034,13D-AM-1014-02,13D,AM,10142018,2,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,True,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9711666523376 40.7761513057034)
2964,-73.9767389132988,40.7689323691424,4D-PM-1008-10,04D,PM,10082018,10,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,6,climbed the fence & posed for a picture,False,False,True,False,True,,False,False,False,False,False,True,False,False,,POINT (-73.9767389132988 40.7689323691424)
2970,-73.9639801411692,40.7778921302618,18I-PM-1007-04,18I,PM,10072018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,False,walking sitting up,False,False,False,False,False,False,False,True,,POINT (-73.9639801411692 40.7778921302618)
2975,-73.9724083320538,40.7744163768061,11D-AM-1010-08,11D,AM,10102018,8,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,True,True,drinking,False,False,False,False,False,True,False,False,,POINT (-73.9724083320538 40.7744163768061)
